20;90000;1,24;0,17
20;170000;1,05;0,17
20;260000;0,92;0,17
20;350000;0,83;0,17
20;430000;0,76;0,17
20;520000;0,71;0,17
20;600000;0,67;0,17
20;690000;0,62;0,17
20;770000;0,59;0,17
70;90000;1,29;0,17
70;170000;1,09;0,17
70;260000;0,96;0,17
70;350000;0,87;0,17
70;430000;0,80;0,17
70;520000;0,74;0,17
70;600000;0,70;0,17
70;690000;0,66;0,17
70;770000;0,63;0,17
120;90000;1,32;0,17
120;170000;1,12;0,17
120;260000;0,99;0,17
120;350000;0,89;0,17
120;430000;0,83;0,17
120;520000;0,77;0,17
120;600000;0,73;0,17
120;690000;0,68;0,17
120;770000;0,65;0,17
170;90000;1,35;0,17
170;170000;1,15;0,17
170;260000;1,01;0,17
170;350000;0,92;0,17
170;430000;0,85;0,17
170;520000;0,79;0,17
170;600000;0,75;0,17
170;690000;0,70;0,17
170;770000;0,67;0,17
230;90000;1,38;0,17
230;170000;1,17;0,17
230;260000;1,03;0,17
230;350000;0,94;0,17
230;430000;0,87;0,17
230;520000;0,81;0,17
230;600000;0,77;0,17
230;690000;0,72;0,17
230;770000;0,69;0,17
280;90000;1,40;0,17
280;170000;1,19;0,17
280;260000;1,05;0,17
280;350000;0,96;0,17
280;430000;0,89;0,17
280;520000;0,83;0,17
280;600000;0,78;0,17
280;690000;0,74;0,17
280;770000;0,70;0,17
