20;40000;1,80;0,21
20;110000;1,28;0,21
20;170000;1,07;0,21
20;240000;0,90;0,21
20;310000;0,78;0,21
20;380000;0,69;0,21
20;450000;0,61;0,21
20;520000;0,55;0,21
20;580000;0,51;0,21
80;40000;1,81;0,21
80;110000;1,29;0,21
80;170000;1,07;0,21
80;240000;0,90;0,21
80;310000;0,78;0,21
80;380000;0,69;0,21
80;450000;0,62;0,21
80;520000;0,56;0,21
80;580000;0,51;0,21
140;40000;1,85;0,21
140;110000;1,32;0,21
140;170000;1,10;0,21
140;240000;0,93;0,21
140;310000;0,81;0,21
140;380000;0,71;0,21
140;450000;0,64;0,21
140;520000;0,58;0,21
140;580000;0,53;0,21
190;40000;1,91;0,21
190;110000;1,38;0,21
190;170000;1,15;0,21
190;240000;0,98;0,21
190;310000;0,85;0,21
190;380000;0,76;0,21
190;450000;0,68;0,21
190;520000;0,61;0,21
190;580000;0,57;0,21
250;40000;2,07;0,21
250;110000;1,51;0,21
250;170000;1,27;0,21
250;240000;1,09;0,21
250;310000;0,96;0,21
250;380000;0,85;0,21
250;450000;0,77;0,21
250;520000;0,70;0,21
250;580000;0,65;0,21
310;40000;2,33;0,21
310;110000;1,74;0,21
310;170000;1,48;0,21
310;240000;1,28;0,21
310;310000;1,14;0,21
310;380000;1,03;0,21
310;450000;0,94;0,21
310;520000;0,86;0,21
310;580000;0,80;0,21
