20;100000;1,23;0,13
20;200000;1,02;0,13
20;300000;0,89;0,13
20;400000;0,80;0,13
20;500000;0,72;0,13
20;600000;0,66;0,13
20;700000;0,61;0,13
60;100000;1,25;0,13
60;200000;1,04;0,13
60;300000;0,91;0,13
60;400000;0,82;0,13
60;500000;0,74;0,13
60;600000;0,68;0,13
60;700000;0,63;0,13
100;100000;1,27;0,13
100;200000;1,05;0,13
100;300000;0,92;0,13
100;400000;0,83;0,13
100;500000;0,75;0,13
100;600000;0,69;0,13
100;700000;0,64;0,13
140;100000;1,28;0,13
140;200000;1,07;0,13
140;300000;0,94;0,13
140;400000;0,84;0,13
140;500000;0,76;0,13
140;600000;0,70;0,13
140;700000;0,65;0,13
180;100000;1,29;0,13
180;200000;1,08;0,13
180;300000;0,94;0,13
180;400000;0,85;0,13
180;500000;0,77;0,13
180;600000;0,71;0,13
180;700000;0,66;0,13
