40;80000;1,45;0,25
40;110000;1,36;0,25
40;150000;1,27;0,25
40;200000;1,17;0,25
40;240000;1,11;0,25
40;280000;1,05;0,25
40;320000;0,99;0,25
40;360000;0,94;0,25
40;400000;0,90;0,25
70;80000;1,42;0,25
70;110000;1,34;0,25
70;150000;1,25;0,25
70;200000;1,15;0,25
70;240000;1,08;0,25
70;280000;1,03;0,25
70;320000;0,97;0,25
70;360000;0,92;0,25
70;400000;0,88;0,25
100;80000;1,40;0,25
100;110000;1,31;0,25
100;150000;1,22;0,25
100;200000;1,13;0,25
100;240000;1,06;0,25
100;280000;1,00;0,25
100;320000;0,95;0,25
100;360000;0,90;0,25
100;400000;0,86;0,25
140;80000;1,36;0,25
140;110000;1,28;0,25
140;150000;1,19;0,25
140;200000;1,10;0,25
140;240000;1,03;0,25
140;280000;0,98;0,25
140;320000;0,93;0,25
140;360000;0,88;0,25
140;400000;0,83;0,25
170;80000;1,34;0,25
170;110000;1,26;0,25
170;150000;1,17;0,25
170;200000;1,08;0,25
170;240000;1,01;0,25
170;280000;0,96;0,25
170;320000;0,91;0,25
170;360000;0,86;0,25
170;400000;0,82;0,25
200;80000;1,32;0,25
200;110000;1,24;0,25
200;150000;1,15;0,25
200;200000;1,06;0,25
200;240000;0,99;0,25
200;280000;0,94;0,25
200;320000;0,89;0,25
200;360000;0,84;0,25
200;400000;0,80;0,25
