20;90000;1,13;0,17
20;200000;0,94;0,17
20;300000;0,81;0,17
20;410000;0,70;0,17
20;520000;0,59;0,17
20;620000;0,51;0,17
20;730000;0,42;0,17
20;840000;0,34;0,17
20;940000;0,28;0,17
80;90000;1,18;0,17
80;200000;0,99;0,17
80;300000;0,86;0,17
80;410000;0,74;0,17
80;520000;0,64;0,17
80;620000;0,55;0,17
80;730000;0,47;0,17
80;840000;0,39;0,17
80;940000;0,32;0,17
140;90000;1,22;0,17
140;200000;1,03;0,17
140;300000;0,90;0,17
140;410000;0,79;0,17
140;520000;0,68;0,17
140;620000;0,60;0,17
140;730000;0,51;0,17
140;840000;0,43;0,17
140;940000;0,36;0,17
200;90000;1,27;0,17
200;200000;1,08;0,17
200;300000;0,95;0,17
200;410000;0,83;0,17
200;520000;0,73;0,17
200;620000;0,64;0,17
200;730000;0,56;0,17
200;840000;0,48;0,17
200;940000;0,41;0,17
260;90000;1,31;0,17
260;200000;1,12;0,17
260;300000;0,99;0,17
260;410000;0,88;0,17
260;520000;0,77;0,17
260;620000;0,69;0,17
260;730000;0,60;0,17
260;840000;0,52;0,17
260;940000;0,45;0,17
320;90000;1,36;0,17
320;200000;1,17;0,17
320;300000;1,04;0,17
320;410000;0,92;0,17
320;520000;0,82;0,17
320;620000;0,73;0,17
320;730000;0,65;0,17
320;840000;0,57;0,17
320;940000;0,50;0,17
