80;110000;1,49;0,18
80;180000;1,12;0,18
80;250000;0,90;0,18
80;320000;0,73;0,18
80;390000;0,60;0,18
80;470000;0,49;0,18
80;540000;0,40;0,18
80;610000;0,33;0,18
80;680000;0,27;0,18
240;110000;1,83;0,18
240;180000;1,47;0,18
240;250000;1,24;0,18
240;320000;1,08;0,18
240;390000;0,95;0,18
240;470000;0,84;0,18
240;540000;0,75;0,18
240;610000;0,68;0,18
240;680000;0,62;0,18
400;110000;1,96;0,18
400;180000;1,60;0,18
400;250000;1,37;0,18
400;320000;1,21;0,18
400;390000;1,08;0,18
400;470000;0,96;0,18
400;540000;0,88;0,18
400;610000;0,81;0,18
400;680000;0,74;0,18
570;110000;2,04;0,18
570;180000;1,67;0,18
570;250000;1,45;0,18
570;320000;1,28;0,18
570;390000;1,16;0,18
570;470000;1,04;0,18
570;540000;0,96;0,18
570;610000;0,88;0,18
570;680000;0,82;0,18
740;110000;2,09;0,18
740;180000;1,73;0,18
740;250000;1,50;0,18
740;320000;1,34;0,18
740;390000;1,21;0,18
740;470000;1,09;0,18
740;540000;1,01;0,18
740;610000;0,93;0,18
740;680000;0,87;0,18
900;110000;2,13;0,18
900;180000;1,76;0,18
900;250000;1,54;0,18
900;320000;1,37;0,18
900;390000;1,24;0,18
900;470000;1,13;0,18
900;540000;1,04;0,18
900;610000;0,97;0,18
900;680000;0,91;0,18
