20;60000;2,42;0,26
20;110000;1,36;0,26
20;160000;1,00;0,26
20;220000;0,79;0,26
20;270000;0,69;0,26
20;320000;0,62;0,26
20;370000;0,57;0,26
20;430000;0,52;0,26
20;470000;0,49;0,26
60;60000;2,52;0,26
60;110000;1,42;0,26
60;160000;1,04;0,26
60;220000;0,83;0,26
60;270000;0,72;0,26
60;320000;0,65;0,26
60;370000;0,59;0,26
60;430000;0,54;0,26
60;470000;0,52;0,26
110;60000;2,70;0,26
110;110000;1,53;0,26
110;160000;1,13;0,26
110;220000;0,90;0,26
110;270000;0,79;0,26
110;320000;0,71;0,26
110;370000;0,65;0,26
110;430000;0,60;0,26
110;470000;0,57;0,26
150;60000;2,90;0,26
150;110000;1,65;0,26
150;160000;1,23;0,26
150;220000;0,98;0,26
150;270000;0,85;0,26
150;320000;0,77;0,26
150;370000;0,71;0,26
150;430000;0,65;0,26
150;470000;0,62;0,26
200;60000;3,20;0,26
200;110000;1,84;0,26
200;160000;1,37;0,26
200;220000;1,10;0,26
200;270000;0,96;0,26
200;320000;0,87;0,26
200;370000;0,80;0,26
200;430000;0,74;0,26
200;470000;0,70;0,26
240;60000;3,50;0,26
240;110000;2,03;0,26
240;160000;1,52;0,26
240;220000;1,22;0,26
240;270000;1,07;0,26
240;320000;0,97;0,26
240;370000;0,89;0,26
240;430000;0,82;0,26
240;470000;0,79;0,26
