200;150000;0,21;0,21
200;200000;0,21;0,21
200;250000;0,21;0,21
200;300000;0,21;0,21
200;350000;0,21;0,21
200;400000;0,21;0,21
200;450000;0,21;0,21
200;500000;0,21;0,21
250;150000;0,21;0,21
250;200000;0,21;0,21
250;250000;0,21;0,21
250;300000;0,21;0,21
250;350000;0,21;0,21
250;400000;0,21;0,21
250;450000;0,21;0,21
250;500000;0,21;0,21
300;150000;0,21;0,21
300;200000;0,21;0,21
300;250000;0,21;0,21
300;300000;0,21;0,21
300;350000;0,21;0,21
300;400000;0,21;0,21
300;450000;0,21;0,21
300;500000;0,21;0,21
350;150000;0,21;0,21
350;200000;0,21;0,21
350;250000;0,21;0,21
350;300000;0,21;0,21
350;350000;0,21;0,21
350;400000;0,21;0,21
350;450000;0,21;0,21
350;500000;0,21;0,21
400;150000;0,21;0,21
400;200000;0,21;0,21
400;250000;0,21;0,21
400;300000;0,21;0,21
400;350000;0,21;0,21
400;400000;0,21;0,21
400;450000;0,21;0,21
400;500000;0,21;0,21
500;150000;0,21;0,21
500;200000;0,21;0,21
500;250000;0,21;0,21
500;300000;0,21;0,21
500;350000;0,21;0,21
500;400000;0,21;0,21
500;450000;0,21;0,21
500;500000;0,21;0,21
600;150000;0,21;0,21
600;200000;0,21;0,21
600;250000;0,21;0,21
600;300000;0,21;0,21
600;350000;0,21;0,21
600;400000;0,21;0,21
600;450000;0,21;0,21
600;500000;0,21;0,21
