50;110000;1,22;0,15
50;220000;0,94;0,15
50;330000;0,78;0,15
50;450000;0,66;0,15
50;560000;0,58;0,15
50;680000;0,52;0,15
50;800000;0,46;0,15
50;910000;0,42;0,15
50;1020000;0,38;0,15
210;110000;1,48;0,15
210;220000;1,17;0,15
210;330000;0,99;0,15
210;450000;0,86;0,15
210;560000;0,77;0,15
210;680000;0,69;0,15
210;800000;0,62;0,15
210;910000;0,57;0,15
210;1020000;0,53;0,15
370;110000;1,61;0,15
370;220000;1,29;0,15
370;330000;1,10;0,15
370;450000;0,96;0,15
370;560000;0,87;0,15
370;680000;0,78;0,15
370;800000;0,71;0,15
370;910000;0,66;0,15
370;1020000;0,61;0,15
530;110000;1,66;0,15
530;220000;1,34;0,15
530;330000;1,15;0,15
530;450000;1,00;0,15
530;560000;0,90;0,15
530;680000;0,82;0,15
530;800000;0,75;0,15
530;910000;0,69;0,15
530;1020000;0,65;0,15
690;110000;1,69;0,15
690;220000;1,36;0,15
690;330000;1,17;0,15
690;450000;1,03;0,15
690;560000;0,93;0,15
690;680000;0,84;0,15
690;800000;0,77;0,15
690;910000;0,71;0,15
690;1020000;0,67;0,15
850;110000;1,77;0,15
850;220000;1,43;0,15
850;330000;1,23;0,15
850;450000;1,08;0,15
850;560000;0,98;0,15
850;680000;0,89;0,15
850;800000;0,82;0,15
850;910000;0,76;0,15
850;1020000;0,71;0,15
