30;60000;2,02;0,30
30;110000;1,25;0,30
30;160000;0,96;0,30
30;220000;0,77;0,30
30;280000;0,67;0,30
30;340000;0,59;0,30
30;390000;0,55;0,30
30;450000;0,51;0,30
30;500000;0,48;0,30
60;60000;2,16;0,30
60;110000;1,36;0,30
60;160000;1,05;0,30
60;220000;0,86;0,30
60;280000;0,74;0,30
60;340000;0,67;0,30
60;390000;0,62;0,30
60;450000;0,58;0,30
60;500000;0,55;0,30
100;60000;2,25;0,30
100;110000;1,43;0,30
100;160000;1,11;0,30
100;220000;0,91;0,30
100;280000;0,80;0,30
100;340000;0,72;0,30
100;390000;0,67;0,30
100;450000;0,63;0,30
100;500000;0,60;0,30
130;60000;2,29;0,30
130;110000;1,47;0,30
130;160000;1,14;0,30
130;220000;0,94;0,30
130;280000;0,82;0,30
130;340000;0,74;0,30
130;390000;0,70;0,30
130;450000;0,65;0,30
130;500000;0,62;0,30
160;60000;2,33;0,30
160;110000;1,49;0,30
160;160000;1,17;0,30
160;220000;0,97;0,30
160;280000;0,85;0,30
160;340000;0,76;0,30
160;390000;0,71;0,30
160;450000;0,67;0,30
160;500000;0,64;0,30
200;60000;2,36;0,30
200;110000;1,52;0,30
200;160000;1,20;0,30
200;220000;0,99;0,30
200;280000;0,87;0,30
200;340000;0,79;0,30
200;390000;0,73;0,30
200;450000;0,69;0,30
200;500000;0,66;0,30
