30;80000;1,05;0,17
30;180000;0,82;0,17
30;270000;0,68;0,17
30;370000;0,56;0,17
30;470000;0,47;0,17
30;570000;0,39;0,17
30;660000;0,33;0,17
30;760000;0,27;0,17
30;860000;0,23;0,17
100;80000;1,31;0,17
100;180000;1,05;0,17
100;270000;0,89;0,17
100;370000;0,75;0,17
100;470000;0,64;0,17
100;570000;0,55;0,17
100;660000;0,48;0,17
100;760000;0,41;0,17
100;860000;0,35;0,17
180;80000;1,46;0,17
180;180000;1,19;0,17
180;270000;1,02;0,17
180;370000;0,87;0,17
180;470000;0,75;0,17
180;570000;0,65;0,17
180;660000;0,57;0,17
180;760000;0,50;0,17
180;860000;0,44;0,17
250;80000;1,56;0,17
250;180000;1,27;0,17
250;270000;1,10;0,17
250;370000;0,94;0,17
250;470000;0,82;0,17
250;570000;0,72;0,17
250;660000;0,64;0,17
250;760000;0,56;0,17
250;860000;0,49;0,17
330;80000;1,65;0,17
330;180000;1,35;0,17
330;270000;1,17;0,17
330;370000;1,01;0,17
330;470000;0,88;0,17
330;570000;0,78;0,17
330;660000;0,69;0,17
330;760000;0,61;0,17
330;860000;0,54;0,17
400;80000;1,71;0,17
400;180000;1,41;0,17
400;270000;1,23;0,17
400;370000;1,06;0,17
400;470000;0,93;0,17
400;570000;0,82;0,17
400;660000;0,74;0,17
400;760000;0,65;0,17
400;860000;0,58;0,17
