40;70000;1,31;0,22
40;140000;0,98;0,22
40;210000;0,79;0,22
40;290000;0,65;0,22
40;370000;0,55;0,22
40;440000;0,48;0,22
40;520000;0,42;0,22
40;600000;0,36;0,22
40;670000;0,33;0,22
110;70000;1,47;0,22
110;140000;1,12;0,22
110;210000;0,92;0,22
110;290000;0,77;0,22
110;370000;0,66;0,22
110;440000;0,58;0,22
110;520000;0,51;0,22
110;600000;0,45;0,22
110;670000;0,41;0,22
180;70000;1,64;0,22
180;140000;1,27;0,22
180;210000;1,05;0,22
180;290000;0,89;0,22
180;370000;0,77;0,22
180;440000;0,69;0,22
180;520000;0,61;0,22
180;600000;0,55;0,22
180;670000;0,50;0,22
240;70000;1,79;0,22
240;140000;1,40;0,22
240;210000;1,18;0,22
240;290000;1,00;0,22
240;370000;0,88;0,22
240;440000;0,79;0,22
240;520000;0,71;0,22
240;600000;0,64;0,22
240;670000;0,59;0,22
310;70000;1,98;0,22
310;140000;1,57;0,22
310;210000;1,33;0,22
310;290000;1,14;0,22
310;370000;1,01;0,22
310;440000;0,91;0,22
310;520000;0,83;0,22
310;600000;0,75;0,22
310;670000;0,70;0,22
380;70000;2,18;0,22
380;140000;1,74;0,22
380;210000;1,49;0,22
380;290000;1,29;0,22
380;370000;1,15;0,22
380;440000;1,05;0,22
380;520000;0,95;0,22
380;600000;0,87;0,22
380;670000;0,81;0,22
