20;100000;1,38;0,18
20;160000;1,07;0,18
20;220000;0,89;0,18
20;270000;0,79;0,18
20;330000;0,70;0,18
20;390000;0,64;0,18
20;450000;0,59;0,18
20;510000;0,54;0,18
20;560000;0,51;0,18
70;100000;1,49;0,18
70;160000;1,15;0,18
70;220000;0,96;0,18
70;270000;0,85;0,18
70;330000;0,75;0,18
70;390000;0,68;0,18
70;450000;0,63;0,18
70;510000;0,58;0,18
70;560000;0,55;0,18
120;100000;1,61;0,18
120;160000;1,23;0,18
120;220000;1,03;0,18
120;270000;0,91;0,18
120;330000;0,81;0,18
120;390000;0,73;0,18
120;450000;0,67;0,18
120;510000;0,62;0,18
120;560000;0,59;0,18
170;100000;1,74;0,18
170;160000;1,33;0,18
170;220000;1,10;0,18
170;270000;0,98;0,18
170;330000;0,87;0,18
170;390000;0,78;0,18
170;450000;0,72;0,18
170;510000;0,66;0,18
170;560000;0,63;0,18
220;100000;1,88;0,18
220;160000;1,43;0,18
220;220000;1,19;0,18
220;270000;1,05;0,18
220;330000;0,93;0,18
220;390000;0,84;0,18
220;450000;0,77;0,18
220;510000;0,71;0,18
220;560000;0,67;0,18
270;100000;2,04;0,18
270;160000;1,55;0,18
270;220000;1,28;0,18
270;270000;1,13;0,18
270;330000;1,00;0,18
270;390000;0,90;0,18
270;450000;0,83;0,18
270;510000;0,76;0,18
270;560000;0,72;0,18
