50;100000;1,23;0,17
50;150000;1,05;0,17
50;200000;0,93;0,17
50;250000;0,84;0,17
50;300000;0,77;0,17
50;350000;0,71;0,17
50;400000;0,65;0,17
100;100000;1,31;0,17
100;150000;1,13;0,17
100;200000;1,00;0,17
100;250000;0,91;0,17
100;300000;0,83;0,17
100;350000;0,77;0,17
100;400000;0,71;0,17
150;100000;1,36;0,17
150;150000;1,18;0,17
150;200000;1,05;0,17
150;250000;0,95;0,17
150;300000;0,87;0,17
150;350000;0,81;0,17
150;400000;0,75;0,17
200;100000;1,40;0,17
200;150000;1,21;0,17
200;200000;1,08;0,17
200;250000;0,98;0,17
200;300000;0,90;0,17
200;350000;0,84;0,17
200;400000;0,78;0,17
250;100000;1,43;0,17
250;150000;1,24;0,17
250;200000;1,11;0,17
250;250000;1,01;0,17
250;300000;0,93;0,17
250;350000;0,86;0,17
250;400000;0,81;0,17
