20;80000;0,98;0,07
20;180000;0,95;LEER
20;280000;0,92;0,07
20;380000;0,90;0,07
20;480000;0,88;0,07
20;580000;0,86;0,07
20;690000;0,85;0,07
20;790000;0,83;0,07
20;880000;0,82;0,07
120;80000;1,01;LEER
120;180000;0,98;0,07
120;280000;0,95;0,07
120;380000;0,93;LEER
120;480000;0,91;0,07
120;580000;0,90;LEER
120;690000;0,88;0,07
120;790000;0,86;0,07
120;880000;0,85;0,07
230;80000;1,03;0,07
230;180000;1,00;0,07
230;280000;0,97;0,07
230;380000;0,95;0,07
230;480000;0,93;0,07
230;580000;0,92;0,07
230;690000;0,90;0,07
230;790000;0,89;0,07
230;880000;0,87;0,07
330;80000;1,05;0,07
330;180000;1,01;0,07
330;280000;0,99;LEER
330;380000;0,97;0,07
330;480000;0,95;0,07
330;580000;0,93;0,07
330;690000;0,91;0,07
330;790000;0,90;0,07
330;880000;0,89;0,07
440;80000;1,06;0,07
440;180000;1,03;0,07
440;280000;1,00;0,07
440;380000;0,98;0,07
440;480000;0,96;0,07
440;580000;0,95;0,07
440;690000;0,93;0,07
440;790000;0,91;0,07
440;880000;0,90;0,07
550;80000;1,08;0,07
550;180000;1,04;0,07
550;280000;1,02;0,07
550;380000;0,99;0,07
550;480000;0,98;0,07
550;580000;0,96;0,07
550;690000;0,94;0,07
550;790000;0,93;0,07
550;880000;0,92;0,07
