230;90000;1,75;0,15
230;150000;1,45;0,15
230;220000;1,21;0,15
230;290000;1,03;0,15
230;360000;0,88;0,15
230;420000;0,77;0,15
230;490000;0,66;0,15
230;560000;0,56;0,15
230;620000;0,48;0,15
290;90000;1,82;0,15
290;150000;1,52;0,15
290;220000;1,28;0,15
290;290000;1,10;0,15
290;360000;0,95;0,15
290;420000;0,84;0,15
290;490000;0,73;0,15
290;560000;0,63;0,15
290;620000;0,55;0,15
360;90000;1,86;0,15
360;150000;1,56;0,15
360;220000;1,32;0,15
360;290000;1,14;0,15
360;360000;0,99;0,15
360;420000;0,88;0,15
360;490000;0,77;0,15
360;560000;0,67;0,15
360;620000;0,59;0,15
420;90000;1,88;0,15
420;150000;1,58;0,15
420;220000;1,34;0,15
420;290000;1,16;0,15
420;360000;1,01;0,15
420;420000;0,90;0,15
420;490000;0,79;0,15
420;560000;0,69;0,15
420;620000;0,61;0,15
490;90000;1,89;0,15
490;150000;1,59;0,15
490;220000;1,35;0,15
490;290000;1,17;0,15
490;360000;1,02;0,15
490;420000;0,91;0,15
490;490000;0,80;0,15
490;560000;0,70;0,15
490;620000;0,62;0,15
550;90000;1,90;0,15
550;150000;1,60;0,15
550;220000;1,36;0,15
550;290000;1,18;0,15
550;360000;1,03;0,15
550;420000;0,92;0,15
550;490000;0,81;0,15
550;560000;0,71;0,15
550;620000;0,63;0,15
