40;100000;1,06;0,11
40;150000;0,99;0,11
40;210000;0,94;0,11
40;260000;0,90;0,11
40;320000;0,86;0,11
40;370000;0,84;0,11
40;430000;0,81;0,11
40;490000;0,79;0,11
40;540000;0,78;0,11
130;100000;1,20;0,11
130;150000;1,10;0,11
130;210000;1,02;0,11
130;260000;0,98;0,11
130;320000;0,93;0,11
130;370000;0,90;0,11
130;430000;0,87;0,11
130;490000;0,84;0,11
130;540000;0,83;0,11
220;100000;1,28;0,11
220;150000;1,17;0,11
220;210000;1,08;0,11
220;260000;1,02;0,11
220;320000;0,97;0,11
220;370000;0,94;0,11
220;430000;0,90;0,11
220;490000;0,87;0,11
220;540000;0,85;0,11
320;100000;1,37;0,11
320;150000;1,23;0,11
320;210000;1,12;0,11
320;260000;1,06;0,11
320;320000;1,01;0,11
320;370000;0,97;0,11
320;430000;0,93;0,11
320;490000;0,90;0,11
320;540000;0,88;0,11
410;100000;1,43;0,11
410;150000;1,27;0,11
410;210000;1,16;0,11
410;260000;1,09;0,11
410;320000;1,03;0,11
410;370000;0,99;0,11
410;430000;0,95;0,11
410;490000;0,92;0,11
410;540000;0,89;0,11
500;100000;1,49;0,11
500;150000;1,32;0,11
500;210000;1,19;0,11
500;260000;1,12;0,11
500;320000;1,06;0,11
500;370000;1,01;0,11
500;430000;0,97;0,11
500;490000;0,93;0,11
500;540000;0,91;0,11
