200;200000;1,09;0,33
200;250000;0,99;0,33
200;300000;0,93;0,33
200;350000;0,88;0,33
200;400000;0,85;0,33
200;500000;0,80;0,33
200;600000;0,76;0,33
200;700000;0,74;0,33
200;800000;0,72;0,33
200;900000;0,71;0,33
500;200000;1,36;0,33
500;250000;1,25;0,33
500;300000;1,18;0,33
500;350000;1,12;0,33
500;400000;1,08;0,33
500;500000;1,02;0,33
500;600000;0,98;0,33
500;700000;0,96;0,33
500;800000;0,94;0,33
500;900000;0,93;0,33
800;200000;1,55;0,33
800;250000;1,43;0,33
800;300000;1,35;0,33
800;350000;1,29;0,33
800;400000;1,24;0,33
800;500000;1,18;0,33
800;600000;1,14;0,33
800;700000;1,11;0,33
800;800000;1,10;0,33
800;900000;1,09;0,33
